,indexing,posSentScore,negSentScore,snowScore,title
0,000001_2012-11-01_0,0,0,0.86024,几年下跌前轮上涨筑底，今轮反弹真实上升加之国
1,000001_2012-11-01_2,0,0,0.0424,**盘大垃圾伤不起，不论涨跌**明起全仓抢换历史
2,000001_2012-11-01_5,0,0,0.993,15万左右买什么车好？奔腾B90质感更加细腻
3,000001_2012-11-01_8,0,0,0.03291,平安银行的空头庄家你们可以投降了，兴业银行的
4,000001_2012-11-01_10,0,0,0.10025,推荐8万左右的家用轿车，欧朗最热销
5,000001_2012-11-01_11,0,0,0.73685,基本面真的不错，技术面实在很差。----
6,000001_2012-11-01_13,0,0,0.98337,小盘 成长股 一路持有＞做空大蓝筹、建仓=中小
7,000001_2012-11-01_14,0,0,0.47491,6万以下最省油的轿车？威志还不错
8,000001_2012-11-01_15,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
9,000001_2012-11-01_17,0,0,0.93024,600512腾达建设明日大涨
10,000001_2012-11-01_18,0,0,0.9543,头肩底成型了，突破前高就可以一路看高了
11,000001_2012-11-01_19,0,0,0.20694,政策之手干预：基金券商、只能买不能卖！做空砸
12,000001_2012-11-01_21,0,0,0.13286,平安银行  还有多少上升空间，还能继续吗？
13,000001_2012-11-01_25,0,0,0.23721,平安银行提速扩张 分红计划小步推进
14,000001_2012-11-01_27,0,0,0.43927,上午用力过猛，下午有点阳痿，明天准备跑路，阿
15,000001_2012-11-01_28,0,0,0.95164,没有资金进场大盘涨不了
16,000001_2012-11-01_29,0,0,0.27481,大盘明天如果量能不济，赶快跑，让主力站岗，阿
17,000001_2012-11-01_31,0,0,0.9731,公募基金的壮举---减持估值低、业绩优的银行股
18,000001_2012-11-01_34,0,0,0.98786,主力操之过急，量能放大过快，逢高跑，阿呆
19,000001_2012-11-01_37,0,0,0.16347,只许买不许卖！只许买不许卖！只许买不许卖！
20,000001_2012-11-01_43,0,0,0.89739,指数反弹行情，小盘股逢高逃跑，阿呆
21,000001_2012-11-01_47,0,0,0.57495,股市上涨必须解决的四个问题
22,000001_2012-11-01_51,0,0,0.7461,看多头有多少能量发挥，一旦缩量，立马走人，阿
23,000001_2012-11-01_52,0,0,0.99821,[证券新闻];香港电影富豪女星刘嘉玲抄底新进广
24,000001_2012-11-01_58,0,0,0.99973,中国公募基金的壮举---减持估值低、业绩优的银
25,000001_2012-11-01_60,0,0,0.14593,强烈要求跌破净值的股票，分红后不得除权。
